City,District,Price,Brand,Series,Model,Year,Fuel,Tranmission,Km,Chasis,Power,Engine,Drive,Color,From
Ağrı,Merkez,34000,Skoda,Superb,1.9 TDI Classic,2005,Dizel,Manuel,361000,Sedan,131,1896,Forward,Bordo,Owner
Amasya,Merkez,166000,BMW,5 Serisi,520i M Sport ,2013,Benzin,Otomatik,99000,Sedan,170,1592,Back,Beyaz,Owner
İstanbul,Bağcılar,588750,Maserati,Ghibli,3.0,2014,Dizel,Yarı Otomatik,22000,Coupe,275,2987,Back,Beyaz,Dealer
İstanbul,Avcılar,155000,BMW,3 Serisi,320d Modern Line,2013,Dizel,Yarı Otomatik,105000,Sedan,184,1995,Back,Lacivert,Dealer
Amasya,Merkez,21500,Toyota,Yaris,1.0 Terra,2004,Benzin & LPG,Manuel,122000,Hatchback 5 kapı,65,998,Forward,Gri,Dealer
Kayseri,Melikgazi,37500,Fiat,Linea,1.3 Multijet Active Plus,2012,Dizel,Manuel,210000,Sedan,90,1248,Forward,Gümüş Gri,Owner
Kayseri,Melikgazi,37500,Fiat,Linea,1.3 Multijet Active Plus,2012,Dizel,Manuel,210000,Sedan,90,1248,Forward,Gümüş Gri,Owner
Ankara,Çankaya,,Opel,Astra,1.6 Elegance,2004,Benzin,Otomatik,140000,Sedan,101,1401,Forward,Beyaz,Dealer
Ankara,Çankaya,24750,Opel,Astra,1.6 Elegance,2004,Benzin,Otomatik,140000,Sedan,101,1401,Forward,Beyaz,Dealer
İstanbul,Kadıköy,110000,Porsche,911,Carrera 2,1998,Benzin,Manuel,157000,Coupe,276,3001,Back,Siyah,Owner
İzmir,Konak,529875,Jaguar,XJ,3.0 D Premium,2012,Dizel,Otomatik,42500,Sedan,275,2993,Back,Gri,Dealer
İzmir,Konak,510750,Jaguar,XJ,3.0 D Premium,2012,Dizel,Otomatik,42500,Sedan,275,2993,Back,Gri,Dealer
Tekirdağ,Hayrabolu,45500,Mercedes - Benz,E,E 200 Classic,1998,Benzin & LPG,Otomatik,417000,Sedan,126,1801,Back,Beyaz,Dealer
Denizli,Pamukkale,31500,Hyundai,i20 Troy,1.4 CRDi Team,2012,Dizel,Manuel,217000,Hatchback 5 kapı,75,1396,Forward,Siyah,Dealer
İstanbul,Bahçelievler,220000,Mercedes - Benz,C,C 200 d BlueTEC AMG,2015,Dizel,Yarı Otomatik,21000,Station Wagon,136,1598,Back,Mavi,Dealer
