City,District,Price,Brand,Series,Model,Year,Fuel,Tranmission,Km,Chasis,Power,Engine,Drive,Color,From
Malatya,Battalgazi,21250,Fiat,Brava,1.6 ELX,2000,Benzin & LPG,Manuel,181000,Hatchback 5 kapı,103,1581,Forward,Mavi,Owner
İzmir,Urla,32000,Volvo,V40,2.0,2003,Benzin & LPG,Otomatik,250000,Station Wagon,136,1948,Forward,Gümüş Gri,Owner
İzmir,Urla,32000,Volvo,V40,2.0,2003,Benzin & LPG,Otomatik,250000,Station Wagon,136,1948,Forward,Gümüş Gri,Owner
Ankara,Beypazarı,62000,Peugeot,301,1.6 HDi Allure,2015,Dizel,Manuel,9826,Sedan,92,1560,Forward,Beyaz,Dealer
Balıkesir,Sındırgı,45000,Subaru,Legacy,2.0 Comfort,2006,Benzin,Yarı Otomatik,153000,Station Wagon,151,1801,4WD,Siyah,Dealer
Ankara,Beypazarı,30000,Renault,Megane,1.5 dCi Expression,2006,Dizel,Manuel,173308,Sedan,106,1461,Forward,Siyah,Dealer
Trabzon,Yomra,15000,Lada,Samara,1.5,2004,Benzin & LPG,Manuel,115000,Hatchback 5 kapı,51,1401,Forward,Mavi,Owner
Ankara,Yenimahalle,59000,Volkswagen,Passat,2.0 TDi Highline,2007,Dizel,Yarı Otomatik,265000,Sedan,170,1968,Forward,Gri,Dealer
Kocaeli,Derince,27000,Seat,Toledo,1.6 Stella,2004,Benzin & LPG,Manuel,180200,Sedan,105,1598,Forward,Siyah,Owner
Konya,Seydişehir,71500,Volkswagen,EOS,2.0 FSi,2007,Benzin,Manuel,98000,Cabrio,200,1984,Forward,Siyah,Dealer
Konya,Akşehir,17750,Fiat,Palio,1.2 S,2001,Benzin & LPG,Manuel,5000,Hatchback 5 kapı,51,1201,Forward,Mavi,Dealer
İstanbul,Bağcılar,126000,Renault,Megane,1.5 dCi Icon,2017,Dizel,Yarı Otomatik,0,Sedan,110,1461,Forward,Beyaz,Dealer
İzmir,Gaziemir,55000,Opel,Corsa,1.4 Essentia,2015,Benzin,Yarı Otomatik,45500,Hatchback 5 kapı,90,1398,Forward,Gri,Dealer
Ankara,Keçiören,59999,Peugeot,301,1.6 HDi Allure,2016,Dizel,Manuel,26000,Sedan,92,1560,Forward,Beyaz,Dealer
Ankara,Akyurt,187000,Audi,A6,A6 Sedan 3.0 TDI Quattro,2011,Dizel,Yarı Otomatik,141000,Sedan,240,2967,4WD,Siyah,Dealer
Ankara,Keçiören,28750,Ford,Focus,1.6 Ghia,1999,Benzin & LPG,Manuel,174000,Hatchback 5 kapı,76,1401,Forward,Gümüş Gri,Dealer
İstanbul,Bağcılar,19000,Mazda,929,2.0 GLX,1991,Benzin & LPG,Manuel,200000,Sedan,126,1801,Forward,Füme,Dealer
Mersin,Yenişehir,21700,Honda,Civic,1.4 1.4i,1998,Benzin,Manuel,224000,Hatchback 3 kapı,51,1201,Forward,Yeşil,Owner
Antalya,Kaş,42500,Opel,Astra,1.6 Enjoy,2008,Benzin,Manuel,97000,Sedan,101,1401,Forward,Siyah,Owner
Kocaeli,Gölcük,78500,Mercedes - Benz,E,E 200 Komp. Elegance,2005,Benzin & LPG,Yarı Otomatik,245000,Sedan,163,1796,Back,Gri,Owner
Trabzon,Of,24000,Peugeot,206,2.0 GTI,2002,Benzin,Manuel,151000,Hatchback 3 kapı,126,1801,Forward,Gri,Owner
İstanbul,Bakırköy,50000,Mercedes - Benz,300,300 SEL,1990,Benzin,Otomatik,169000,Sedan,176,2501,Back,Gri,Dealer
Zonguldak,Kilimli,100000,Audi,A6,A6 Sedan 2.0 TDI,2010,Dizel,Yarı Otomatik,180000,Sedan,170,1968,Forward,Beyaz,Dealer
Zonguldak,Kilimli,93000,Audi,A6,A6 Sedan 2.0 TDI,2010,Dizel,Yarı Otomatik,200000,Sedan,170,1968,Forward,Beyaz,Dealer
İstanbul,Üsküdar,58900,Renault,Fluence,1.5 dCi Joy,2014,Dizel,Yarı Otomatik,102000,Sedan,110,1461,Forward,Siyah,Dealer
İzmir,Balçova,79750,BMW,5 Serisi,520d Premium,2007,Dizel,Yarı Otomatik,195000,Sedan,176,1801,Back,Lacivert,Dealer
Gaziantep,Şehitkamil,60000,Mercedes - Benz,CLC,CLC 160 Sport,2011,Benzin,Otomatik,56000,Coupe,126,1401,Back,Beyaz,Dealer
İstanbul,Maltepe,52750,Nissan,Micra,1.2 Match,2016,Benzin,Yarı Otomatik,13000,Hatchback 5 kapı,80,1198,Forward,Kırmızı,Dealer
Hatay,Payas,127000,Audi,A5,A5 Sportback 2.0 TDI,2011,Dizel,Yarı Otomatik,174000,Hatchback 5 kapı,126,1801,Forward,Gümüş Gri,Dealer
Hatay,Antakya,175000,Mercedes - Benz,E,E 220 CDI BlueEfficiency,2012,Dizel,Yarı Otomatik,187888,Sedan,151,2001,Back,Beyaz,Dealer
İstanbul,Bağcılar,46000,Audi,A4,A4 Sedan,2005,Dizel,Yarı Otomatik,300000,Sedan,151,1801,Back,Gümüş Gri,Dealer
Rize,Merkez,25000,Mercedes - Benz,250,250 D,1987,Dizel,Otomatik,456000,Sedan,126,2001,Back,Kahverengi,Owner
İstanbul,Beşiktaş,467620,Chevrolet,Camaro,RS,2017,Benzin,Otomatik,0,Coupe,251,1801,Back,Beyaz,Dealer
İstanbul,Beşiktaş,467620,Chevrolet,Camaro,RS,2017,Benzin,Otomatik,0,Coupe,251,1801,Back,Beyaz,Dealer
Hatay,Dörtyol,95750,Toyota,Avensis 1.6 D-4D,Premium,2015,Dizel,Manuel,28903,Sedan,112,1598,Forward,Beyaz,Dealer
Hatay,Dörtyol,95750,Toyota,Avensis 1.6 D-4D,Premium,2015,Dizel,Manuel,28903,Sedan,112,1598,Forward,Beyaz,Dealer
İstanbul,Sancaktepe,162000,Mercedes - Benz,CLS,CLS 320 320 CDI,2009,Dizel,Yarı Otomatik,165000,Coupe,224,2987,Back,Siyah,Dealer
İstanbul,Ataşehir,40950,Opel,Astra,1.6 Enjoy Elegance,2011,Benzin,Otomatik,175000,Hatchback 5 kapı,101,1401,Forward,Siyah,Dealer
Afyonkarahisar,Merkez,30000,Mercedes - Benz,C,C 200 Elegance,1995,Benzin & LPG,Otomatik,400000,Sedan,126,1801,Back,Lacivert,Dealer
İstanbul,Beşiktaş,75000,Mercedes - Benz,230,230.4,1975,Benzin,Otomatik,65000,Sedan,101,2001,Back,Gri,Dealer
Mersin,Erdemli,11500,Peugeot,106,XT,1994,Benzin & LPG,Manuel,270000,Hatchback 5 kapı,75,1361,Forward,Mavi,Dealer
Mersin,Erdemli,11500,Peugeot,106,XT,1994,Benzin & LPG,Manuel,270000,Hatchback 5 kapı,75,1361,Forward,Mavi,Dealer
İstanbul,Sultanbeyli,28000,Skoda,Fabia,1.4 Elegance,2013,Benzin,Manuel,95000,Hatchback 5 kapı,76,1201,Forward,Siyah,Dealer
Adana,Seyhan,32500,Opel,Astra,1.6 Elegance Twinport,2003,Benzin,Manuel,185000,Sedan,101,1401,Forward,Beyaz,Dealer
Ankara,Çankaya,54500,Renault,Fluence,1.5 dCi Touch,2015,Dizel,Manuel,108550,Sedan,76,1401,Forward,Beyaz,Dealer
Adana,Kozan,19250,Ford,Mondeo,2.0 GLX,1997,Benzin & LPG,Manuel,267000,Hatchback 5 kapı,130,1988,Forward,Bordo,Dealer
Mersin,Tarsus,83350,BMW,3 Serisi,320d Comfort,2011,Dizel,Yarı Otomatik,215000,Sedan,184,1995,Back,Beyaz,Owner
Aydın,Efeler,91500,Audi,A3,A3 Sportback 1.6 TDI Ambition,2012,Dizel,Yarı Otomatik,63000,Hatchback 5 kapı,101,1401,Forward,Beyaz,Owner
Adana,Ceyhan,36000,Ford,C-Max,1.6 TDCi Trend,2004,Dizel,Manuel,103000,MPV,110,1560,Forward,Gümüş Gri,Owner
İstanbul,Beylikdüzü,75000,BMW,3 Serisi,316i Comfort,2011,Benzin,Yarı Otomatik,66000,Sedan,101,1401,Back,Siyah,Owner
Ankara,Çankaya,45000,Volvo,S60,2.4 D,2005,Dizel,Yarı Otomatik,248000,Sedan,185,2401,Forward,Mavi,Owner
İstanbul,Küçükçekmece,58500,Volvo,S40,1.6 D Dynamic,2009,Dizel,Manuel,128000,Sedan,109,1560,Forward,Siyah,Owner
Bursa,İnegöl,40000,Honda,Civic,1.6 i ES,2004,Benzin & LPG,Manuel,260000,Sedan,126,1401,Forward,Füme,Owner
Antalya,Alanya,55000,Mini,Cooper,1.6 Bayswater,2012,Benzin,Otomatik,42000,Hatchback 3 kapı,122,1598,Forward,Bej,Owner
Antalya,Alanya,55000,Mini,Cooper,1.6 Bayswater,2012,Benzin,Otomatik,43000,Hatchback 3 kapı,122,1598,Forward,Bej,Owner
Antalya,Alanya,53000,Mini,Cooper,1.6 Bayswater,2012,Benzin,Otomatik,43000,Hatchback 3 kapı,122,1598,Forward,Bej,Owner
İstanbul,Bahçelievler,48250,Mercedes - Benz,C,C 200 Komp. Sportcoupe,2002,Benzin,Yarı Otomatik,158000,Coupe,163,1998,Back,Gri,Dealer
İstanbul,Bahçelievler,48250,Mercedes - Benz,C,C 200 Komp. Sportcoupe,2002,Benzin,Yarı Otomatik,158000,Coupe,163,1998,Back,Gri,Dealer
Kastamonu,Merkez,16000,Toyota,Starlet,1.3 XLi,1998,Benzin,Manuel,170000,Hatchback 5 kapı,75,1332,Forward,Kırmızı,Owner
Ankara,Etimesgut,30000,Hyundai,Accent Era,1.4 Start,2007,Benzin & LPG,Manuel,217000,Sedan,97,1399,Forward,Gri,Dealer
Sakarya,Adapazarı,39750,Opel,Corsa,1.3 CDTI Essentia,2013,Dizel,Manuel,135000,Hatchback 5 kapı,51,1201,Forward,Beyaz,Owner
Şanlıurfa,Haliliye,455000,Mercedes - Benz,E,E 220 d Exclusive,2017,Dizel,Otomatik,17000,Sedan,194,1950,4WD,Siyah,Dealer
Kocaeli,İzmit,67850,Audi,A3,A3 Sportback 1.6 Attraction,2010,Benzin & LPG,Yarı Otomatik,89000,Hatchback 5 kapı,101,1401,Forward,Siyah,Owner
Mersin,Anamur,16500,Audi,80 Serisi,1.6,1991,Benzin & LPG,Manuel,292900,Sedan,51,1601,Forward,Turkuaz,Owner
İstanbul,Zeytinburnu,32700,Hyundai,Sonata,2.0 SOHC GLS,2005,Benzin & LPG,Manuel,201000,Sedan,126,1801,Forward,Gümüş Gri,Owner
Kahramanmaraş,Dulkadiroğlu,19999,Toyota,Corolla,1.6 XEi,1997,Benzin & LPG,Manuel,302245,Sedan,101,1401,Forward,Lacivert,Dealer
Giresun,Bulancak,106500,Volkswagen,VW CC 1.4 TSi,1.4,2015,Benzin,Yarı Otomatik,30000,Coupe,160,1390,Forward,Beyaz,Owner
Eskişehir,Odunpazarı,31000,Opel,Astra,1.6 Classic,2006,Benzin & LPG,Manuel,126000,Hatchback 5 kapı,103,1598,Forward,Mavi,Dealer
Hatay,Dörtyol,98750,Toyota,Corolla,1.4 D-4D Advance,2016,Dizel,Manuel,1,Sedan,90,1364,Forward,Beyaz,Dealer
Hatay,Dörtyol,98750,Toyota,Corolla,1.4 D-4D Advance,2016,Dizel,Manuel,1,Sedan,90,1364,Forward,Beyaz,Dealer
Kayseri,Kocasinan,16500,Hyundai,Elantra,1.8 GLS,1996,Benzin & LPG,Manuel,298000,Sedan,126,1601,Forward,Beyaz,Owner
Gaziantep,Şehitkamil,22500,Opel,Astra,1.4 Classic,2001,Benzin & LPG,Manuel,160000,Sedan,60,1389,Forward,Kırmızı,Dealer
Ankara,Yenimahalle,119900,Audi,A3,A3 Sedan 1.6 TDI Ambiente,2015,Dizel,Yarı Otomatik,95000,Sedan,110,1598,Forward,Siyah,Owner
Ankara,Yenimahalle,119900,Audi,A3,A3 Sedan 1.6 TDI Ambiente,2015,Dizel,Yarı Otomatik,95000,Sedan,110,1598,Forward,Siyah,Owner
İstanbul,Pendik,82900,Ford,Focus,1.5 TDCi Trend X ,2016,Dizel,Yarı Otomatik,20000,Sedan,120,1499,Forward,Beyaz,Dealer
Mersin,Erdemli,16500,Rover,420,Si,1997,Benzin & LPG,Manuel,238000,Sedan,136,1994,Forward,Kırmızı,Dealer
Bursa,Nilüfer,25000,Chevrolet,Lacetti,1.4 SE,2010,Benzin & LPG,Manuel,96000,Hatchback 5 kapı,76,1201,Forward,Kırmızı,Owner
Kastamonu,Merkez,53000,Chevrolet,Epica,2.0 D LT,2011,Dizel,Yarı Otomatik,91000,Sedan,150,1991,Forward,Beyaz,Dealer
Kastamonu,Merkez,53000,Chevrolet,Epica,2.0 D LT,2011,Dizel,Yarı Otomatik,91000,Sedan,150,1991,Forward,Beyaz,Dealer
Kastamonu,Merkez,50000,Chevrolet,Epica,2.0 D LT,2011,Dizel,Yarı Otomatik,97000,Sedan,150,1991,Forward,Beyaz,Dealer
İstanbul,Pendik,55500,Kia,Rio,1.4 CRDi Sporty,2012,Dizel,Manuel,115000,Hatchback 5 kapı,90,1396,Forward,Gümüş Gri,Owner
Muğla,Milas,23000,Suzuki,Swift,1.3 GLX,2001,Benzin & LPG,Otomatik,75000,Hatchback 5 kapı,51,1201,Forward,Gümüş Gri,Dealer
İstanbul,Bakırköy,116000,BMW,3 Serisi,320i,2012,Benzin,Yarı Otomatik,70000,Sedan,176,1801,Back,Siyah,Dealer
Kırıkkale,Merkez,24750,Hyundai,Getz,1.3 GLS,2006,Benzin & LPG,Manuel,222000,Hatchback 5 kapı,82,1341,Forward,Gümüş Gri,Dealer
Kırıkkale,Merkez,23750,Hyundai,Getz,1.3 GLS,2006,Benzin & LPG,Manuel,233000,Hatchback 5 kapı,82,1341,Forward,Gümüş Gri,Dealer
İstanbul,Tuzla,95000,Audi,A4,A4 Sedan 2.0 TDI,2012,Dizel,Yarı Otomatik,135000,Sedan,143,1968,Forward,Siyah,Dealer
Bolu,Merkez,12750,Renault,R 12,Toros,1994,Benzin & LPG,Manuel,115789,Station Wagon,72,1397,Forward,Beyaz,Dealer
İstanbul,Bağcılar,25250,Honda,Civic,1.4 S,1997,Benzin,Otomatik,189000,Sedan,90,1396,Forward,Bordo,Dealer
İstanbul,Ataşehir,126000,BMW,2 Serisi,218i M Sport ,2015,Benzin,Yarı Otomatik,97000,Coupe,136,1499,Back,Beyaz,Owner
Konya,Meram,54000,Skoda,Octavia,1.6 TDI Elegance,2012,Dizel,Yarı Otomatik,125000,Hatchback 5 kapı,105,1598,Forward,Bej,Dealer
İzmir,Gaziemir,169750,Mercedes - Benz,E,E 180 Elite,2014,Benzin,Yarı Otomatik,52000,Sedan,151,1401,Back,Beyaz,Dealer
İstanbul,Bağcılar,35900,Toyota,Corolla,1.3 XL,1995,Benzin,Manuel,21682,Sedan,88,1332,Forward,Beyaz,Dealer
Zonguldak,Çaycuma,38000,Volkswagen,Passat,1.6 Trendline,2004,Benzin & LPG,Manuel,187000,Sedan,102,1595,Forward,Gümüş Gri,Dealer
İstanbul,Pendik,149250,Mercedes - Benz,CLA,180 d AMG,2016,Dizel,Yarı Otomatik,51000,Coupe,109,1462,Forward,Beyaz,Dealer
İstanbul,Pendik,147900,Mercedes - Benz,CLA,180 d AMG,2016,Dizel,Yarı Otomatik,51000,Coupe,109,1462,Forward,Beyaz,Dealer
Ankara,Çankaya,79500,Toyota,Verso,1.6 D-4D Premium,2014,Dizel,Manuel,136000,MPV,112,1598,Forward,Füme,Dealer
Ankara,Çankaya,78999,Toyota,Verso,1.6 D-4D Premium,2014,Dizel,Manuel,140000,MPV,112,1598,Forward,Füme,Dealer
İstanbul,Bağcılar,102000,BMW,1 Serisi,120d,2009,Dizel,Otomatik,163000,Coupe,201,1801,Back,Gümüş Gri,Dealer
İstanbul,Bağcılar,90000,BMW,1 Serisi,120d,2009,Dizel,Otomatik,190000,Coupe,201,1801,Back,Gümüş Gri,Dealer
İzmir,Gaziemir,69990,Volkswagen,VW CC 2.0 TDi,2.0 TDi,2009,Dizel,Yarı Otomatik,278000,Sedan,176,1801,Back,Gümüş Gri,Dealer
Ankara,Çankaya,94750,Renault,Megane,1.5 dCi Touch,2016,Dizel,Yarı Otomatik,18500,Sedan,110,1461,Forward,Beyaz,Dealer
Ankara,Yenimahalle,189500,BMW,4 Serisi,418i Gran Coupe M Sport,2016,Benzin,Yarı Otomatik,40000,Coupe,136,1499,Back,Mavi,Dealer
Konya,Çumra,95000,Skoda,Superb,1.6 TDI Elegance,2013,Dizel,Yarı Otomatik,122000,Sedan,105,1598,Forward,Beyaz,Dealer
İstanbul,Şişli,527520,Ferrari,430,F430,2006,Benzin,Otomatik,29330,Coupe,476,4001,Back,Füme,Dealer
Trabzon,Ortahisar,63500,Suzuki,S-Cross,1.6 DDIS GL,2013,Dizel,Manuel,65000,Crossover,120,1598,Forward,Beyaz,Owner
İstanbul,Bakırköy,145000,Mini,John Cooper,1.6 Works,2013,Benzin,Yarı Otomatik,23000,Hatchback 3 kapı,211,1598,Forward,Siyah,Dealer
İstanbul,Bayrampaşa,9750,Tofaş,Kartal,SLX,1993,Benzin & LPG,Manuel,180000,Station Wagon,76,1401,Back,Kırmızı,Dealer
Muğla,Menteşe,39000,Renault,Megane,1.6 CC Privilege,2007,Benzin & LPG,Otomatik,173069,Cabrio,110,1598,Forward,Bordo,Dealer
Malatya,Yeşilyurt,49000,Opel,Astra,1.6 Enjoy,2010,Benzin & LPG,Manuel,102000,Hatchback 5 kapı,76,1401,Forward,Beyaz,Dealer
Ankara,Etimesgut,19500,Honda,Civic,1.4 1.4i,1998,Benzin,Manuel,303311,Hatchback 3 kapı,51,1201,Forward,Kırmızı,Owner
Ankara,Etimesgut,19000,Honda,Civic,1.4 1.4i,1998,Benzin,Manuel,303311,Hatchback 3 kapı,51,1201,Forward,Kırmızı,Owner
İstanbul,Avcılar,160000,Mercedes - Benz,CLA,180 d AMG,2015,Dizel,Yarı Otomatik,36000,Coupe,109,1462,Forward,Beyaz,Dealer
İstanbul,Büyükçekmece,159500,Mercedes - Benz,E,E 180 Elite,2013,Benzin,Yarı Otomatik,48000,Sedan,151,1401,Back,Gri,Owner
Antalya,Kepez,225000,Porsche,Cayman,Cayman,2010,Benzin,Yarı Otomatik,57000,Coupe,226,2501,Back,Siyah,Dealer
Antalya,Kepez,225000,Porsche,Cayman,Cayman,2010,Benzin,Yarı Otomatik,57000,Coupe,226,2501,Back,Siyah,Dealer
İstanbul,Başakşehir,44250,Suzuki,Swift,1.2 GL,2013,Benzin,Manuel,34500,Hatchback 5 kapı,94,1242,Forward,Gri,Owner
İstanbul,Başakşehir,44250,Suzuki,Swift,1.2 GL,2013,Benzin,Manuel,37000,Hatchback 5 kapı,94,1242,Forward,Gri,Owner
Konya,Karatay,275000,BMW,7 Serisi,740d,2011,Dizel,Yarı Otomatik,115000,Sedan,306,2993,Back,Beyaz,Dealer
Hatay,Belen,13500,Mercedes - Benz,240,240 D,1981,Dizel,Manuel,300000,Sedan,51,2001,Back,Beyaz,Owner
İstanbul,Beykoz,69500,Skoda,Octavia,1.6 TDI Elegance CR,2013,Dizel,Yarı Otomatik,125000,Hatchback 5 kapı,105,1598,Forward,Beyaz,Owner
İstanbul,Beykoz,75000,Skoda,Octavia,1.6 TDI Elegance CR,2013,Dizel,Yarı Otomatik,126000,Hatchback 5 kapı,105,1598,Forward,Beyaz,Owner
İstanbul,Beykoz,72500,Skoda,Octavia,1.6 TDI Elegance CR,2013,Dizel,Yarı Otomatik,127500,Hatchback 5 kapı,105,1598,Forward,Beyaz,Owner
İstanbul,Eyüp,28000,Nissan,Almera,1.5 Tekna,2005,Benzin & LPG,Manuel,140000,Hatchback 5 kapı,76,1401,Forward,Siyah,Owner
İstanbul,Eyüp,27000,Nissan,Almera,1.5 Tekna,2005,Benzin & LPG,Manuel,141000,Hatchback 5 kapı,76,1401,Forward,Siyah,Owner
İstanbul,Eyüp,26000,Nissan,Almera,1.5 Tekna,2005,Benzin & LPG,Manuel,141000,Hatchback 5 kapı,76,1401,Forward,Siyah,Owner
Ankara,Keçiören,16750,Fiat,Palio,1.2 EL Weekend,2002,Benzin,Manuel,290000,Station Wagon,74,1242,Forward,Gümüş Gri,Dealer
Batman,Merkez,54500,Toyota,Corolla,1.4 D-4D Elegant,2012,Dizel,Manuel,176000,Sedan,76,1201,Forward,Siyah,Dealer
İstanbul,Başakşehir,60500,Toyota,Avensis,1.6 Elegant,2012,Benzin & LPG,Manuel,109000,Sedan,132,1598,Forward,Beyaz,Owner
Konya,Selçuklu,18750,Peugeot,306,1.8 XS,1998,Benzin & LPG,Manuel,257000,Hatchback 5 kapı,101,1601,Forward,Beyaz,Dealer
İstanbul,Beşiktaş,310000,Jaguar,XF 2.0 D,R-Sport Plus,2015,Dizel,Yarı Otomatik,20610,Sedan,180,1999,Back,Beyaz,Dealer
Kütahya,Merkez,39500,Toyota,Corolla,1.6 Sol,2005,Benzin,Otomatik,199982,Sedan,101,1401,Forward,Füme,Dealer
Kütahya,Merkez,38500,Toyota,Corolla,1.6 Sol,2005,Benzin,Otomatik,200416,Sedan,101,1401,Forward,Füme,Dealer
Ankara,Etimesgut,17500,Fiat,Brava,1.6 SX,2001,Benzin & LPG,Manuel,176000,Hatchback 5 kapı,103,1581,Forward,Gümüş Gri,Owner
Malatya,Yeşilyurt,35000,Chevrolet,Epica,2.0 D LT,2009,Dizel,Yarı Otomatik,240000,Sedan,150,1991,Forward,Siyah,Dealer
Mersin,Anamur,47000,Chrysler,Sebring,2.0 CRD Limited,2008,Dizel,Manuel,183000,Sedan,126,1801,Forward,Kırmızı,Owner
İstanbul,Ümraniye,162500,Audi,A4,A4 Sedan 1.4 TFSI Design,2016,Benzin,Otomatik,16500,Sedan,126,1201,Forward,Siyah,Dealer
İstanbul,Ümraniye,162500,Audi,A4,A4 Sedan 1.4 TFSI Design,2016,Benzin,Otomatik,16500,Sedan,126,1201,Forward,Siyah,Dealer
Ankara,Akyurt,147500,BMW,5 Serisi,520d Comfort,2011,Dizel,Yarı Otomatik,200000,Sedan,184,1995,Back,Beyaz,Dealer
Ankara,Yenimahalle,34000,Kia,Carens,2.0 CRDi EX,2005,Dizel,Otomatik,223000,MPV,126,1801,Forward,Sarı,Owner
Ankara,Yenimahalle,35000,Kia,Carens,2.0 CRDi EX,2005,Dizel,Otomatik,223000,MPV,126,1801,Forward,Sarı,Owner
Antalya,Alanya,21500,Mercedes - Benz,190,190 E 1.8,1990,Benzin & LPG,Manuel,168000,Sedan,101,1601,Back,Kahverengi,Owner
İstanbul,Sarıyer,671175,Audi,S Serisi,S8 4.0 TFSI Quattro,2013,Benzin,Yarı Otomatik,73442,Sedan,520,3993,4WD,Siyah,Dealer
İstanbul,Sarıyer,646950,Audi,S Serisi,S8 4.0 TFSI Quattro,2013,Benzin,Yarı Otomatik,73442,Sedan,520,3993,4WD,Siyah,Dealer
Kırklareli,Babaeski,57000,Opel,Astra,1.3 CDTI Edition,2014,Dizel,Manuel,143000,Hatchback 5 kapı,76,1201,Forward,Beyaz,Owner
İstanbul,Çekmeköy,11500,Mercedes - Benz,A,A 170 CDI Elegance,2004,Dizel,Yarı Otomatik,218000,Hatchback 5 kapı,95,1689,Forward,Gümüş Gri,Owner
İstanbul,Fatih,120000,Volkswagen,Scirocco,1.4 TSi Sportline,2016,Benzin,Yarı Otomatik,6500,Coupe,150,1395,Forward,Beyaz,Owner
İzmir,Buca,34500,Opel,Astra,1.6 Enjoy,2004,Benzin,Manuel,165000,Hatchback 5 kapı,101,1401,Forward,Gümüş Gri,Owner
Manisa,Saruhanlı,105000,Mercedes - Benz,C,C 180 BlueEfficiency Avantgarde,2011,Benzin,Yarı Otomatik,80000,Sedan,156,1796,Back,Beyaz,Dealer
İstanbul,Üsküdar,76950,Opel,Astra,1.6 CDTI Design,2016,Dizel,Yarı Otomatik,44500,Hatchback 5 kapı,136,1598,Forward,Kırmızı,Dealer
Osmaniye,Merkez,82500,Toyota,Auris,1.6 Advance Skypack,2016,Benzin,Yarı Otomatik,11000,Hatchback 5 kapı,132,1598,Forward,Beyaz,Dealer
Osmaniye,Merkez,85500,Toyota,Auris,1.6 Advance Skypack,2016,Benzin,Yarı Otomatik,11000,Hatchback 5 kapı,132,1598,Forward,Beyaz,Dealer
İstanbul,Üsküdar,127700,Audi,A4,A4 Sedan 2.0 TDI Quattro,2014,Dizel,Yarı Otomatik,125800,Sedan,177,1968,4WD,Siyah,Dealer
Malatya,Yeşilyurt,11750,Lada,Samara,1.5,2000,Benzin & LPG,Manuel,180000,Hatchback 5 kapı,70,1500,Forward,Beyaz,Owner
Kocaeli,Körfez,57500,Seat,Leon,1.4 TSI FR,2012,Benzin,Manuel,62000,Hatchback 5 kapı,125,1390,Forward,Beyaz,Owner
Konya,Selçuklu,44000,Audi,A4,A4 Sedan 3.0 Quattro,2003,Benzin & LPG,Yarı Otomatik,310200,Sedan,220,2976,4WD,Gri,Owner
Konya,Selçuklu,45000,Audi,A4,A4 Sedan 3.0 Quattro,2003,Benzin & LPG,Yarı Otomatik,310200,Sedan,220,2976,4WD,Gri,Owner
İstanbul,Büyükçekmece,11500,Kia,Sephia,1.6 SLX,1997,Benzin & LPG,Manuel,196000,Sedan,80,1598,Forward,Yeşil,Dealer
Muğla,Köyceğiz,36750,Fiat,Punto,Grande 1.4 Fire S&S,2011,Benzin & LPG,Manuel,68000,Hatchback 5 kapı,76,1201,Forward,Gri,Owner
İstanbul,Sarıyer,58000,Alfa Romeo,159,1.9 JTD Distinctive,2008,Dizel,Manuel,145500,Sedan,150,1910,Forward,Gri,Owner
Ankara,Etimesgut,90750,Mercedes - Benz,C,C 180 BlueEfficiency Fascination,2011,Benzin & LPG,Yarı Otomatik,108000,Sedan,156,1796,Back,Siyah,Owner
Ankara,Etimesgut,89500,Mercedes - Benz,C,C 180 BlueEfficiency Fascination,2011,Benzin & LPG,Yarı Otomatik,108000,Sedan,156,1796,Back,Siyah,Owner
Ankara,Gölbaşı,28750,Seat,Cordoba,1.4 Signo,2004,Benzin & LPG,Manuel,199500,Sedan,76,1201,Forward,Gümüş Gri,Owner
Antalya,Muratpaşa,42000,Citroën,C4 Picasso,1.6 HDi SX PK,2007,Dizel,Yarı Otomatik,184500,MPV,101,1401,Forward,Siyah,Owner
İstanbul,Güngören,42500,Volkswagen,Passat,2.0 FSi Comfortline,2006,Benzin,Yarı Otomatik,134000,Sedan,126,1801,Forward,Siyah,Owner
İstanbul,Güngören,42500,Volkswagen,Passat,2.0 FSi Comfortline,2006,Benzin,Yarı Otomatik,134000,Sedan,126,1801,Forward,Siyah,Owner
İstanbul,Küçükçekmece,65250,Kia,Ceed,1.6 CRDi Concept Plus,2013,Dizel,Otomatik,69000,Hatchback 5 kapı,126,1401,Forward,Kahverengi,Owner
İzmir,Buca,23500,Peugeot,307,1.6 Profil,2004,Benzin & LPG,Manuel,220000,Station Wagon,101,1401,Forward,Gri,Owner
Gaziantep,Şahinbey,78000,Seat,Leon,1.6 TDI CR Style,2014,Dizel,Otomatik,90000,Hatchback 5 kapı,101,1401,Forward,Beyaz,Owner
Gaziantep,Şahinbey,77500,Seat,Leon,1.6 TDI CR Style,2014,Dizel,Otomatik,90000,Hatchback 5 kapı,101,1401,Forward,Beyaz,Owner
Gaziantep,Şahinbey,77500,Seat,Leon,1.6 TDI CR Style,2014,Dizel,Otomatik,93500,Hatchback 5 kapı,101,1401,Forward,Beyaz,Owner
İstanbul,Üsküdar,44900,Honda,City,1.4 ES,2009,Benzin,Otomatik,154000,Sedan,100,1339,Forward,Siyah,Owner
Aydın,Yenipazar,43500,Honda,Civic,1.6 i ES,2000,Benzin,Manuel,113000,Sedan,110,1590,Forward,Beyaz,Owner
Kayseri,Kocasinan,25900,Peugeot,207,1.4 HDi Trendy,2008,Dizel,Manuel,138000,Hatchback 5 kapı,70,1398,Forward,Şampanya,Dealer
